1	663	sggs	ਧਨਾਸਰੀ ਮਹਲਾ ੧ ਆਰਤੀ			Dhanaasaree, First Mehl, Aartee:	Dhanasri 1st Guru. Present adoration.		
2	663	sggs	ੴ ਸਤਿਗੁਰ ਪ੍ਰਸਾਦਿ॥			One Universal Creator God. By The Grace Of The True Guru:	There is but One God. By True Guru's grace, He is obtained.		
3	663	sggs	ਗਗਨ ਮੈ ਥਾਲੁ. ਰਵਿ ਚੰਦੁ ਦੀਪਕ ਬਨੇ; ਤਾਰਿਕਾ ਮੰਡਲ ਜਨਕ ਮੋਤੀ॥	ਮੈ: ਬਿੰਦੀ ਨ ਲਾਉ।		In the bowl of the sky, the sun and moon are the lamps; the stars in the constellations are the pearls.	In the sky's salver, the sun and the moon are the lamps and the stars with their orbs, are the studded pearls.	(ਮੈ) ਸਰੂਪ।	
4	663	sggs	ਧੂਪੁ ਮਲਆਨ ਲੋ. ਪਵਣੁ ਚਵਰੋ ਕਰੇ; ਸਗਲ ਬਨਰਾਇ ਫੂਲੰਤ ਜੋਤੀ॥੧॥			The fragrance of sandalwood is the incense, the wind is the fan, and all the vegetation are flowers in offering to You, O Luminous Lord. ||1||	The fragrance of sandal wood make Thy incense, wind Thy fan and all the vegetation Thine flowers, O Luminous Lord.		
5	663	sggs	ਕੈਸੀ ਆਰਤੀ ਹੋਇ; ਭਵ ਖੰਡਨਾ ਤੇਰੀ ਆਰਤੀ॥			What a beautiful lamp-lit worship service this is! O Destroyer of fear, this is Your Aartee, Your worship service.	What a beautiful worship with lamps is being performed? Such is Thine adoration O Lord, the Destroyer of dread.		
6	663	sggs	ਅਨਹਤਾ ਸਬਦ ਵਾਜੰਤ ਭੇਰੀ॥੧॥ਰਹਾਉ॥			The sound current of the Shabad is the sounding of the temple drums. ||1||Pause||	The celestial strain is the sounding of template drums. Pause.	(ਅਨਹਤਾ) ਇੱਕ ਰਸ। (ਭੇਰੀ) ਨਗਾਰਾ	
7	663	sggs	ਸਹਸ ਤਵ ਨੈਨ. ਨਨ ਨੈਨ ਹੈ ਤੋਹਿ ਕਉ; ਸਹਸ ਮੂਰਤਿ. ਨਨਾ ਏਕ ਤੋਹੀ॥			Thousands are Your eyes, and yet You have no eyes. Thousands are Your forms, and yet You have not even one form.	Thousands are Thine eyes, yet thou hast no eye. Thousands are Thine forms, yet Thou hast not even one.	(ਨਨ) ਨਹੀਂ।	
8	663	sggs	ਸਹਸ ਪਦ ਬਿਮਲ. ਨਨ ਏਕ ਪਦ; ਗੰਧ ਬਿਨੁ. ਸਹਸ ਤਵ ਗੰਧ; ਇਵ ਚਲਤ ਮੋਹੀ॥੨॥			Thousands are Your lotus feet, and yet You have no feet. Without a nose, thousands are Your noses. I am enchanted with Your play! ||2||	Thousands are Thine holy feet, yet Thou hast not one foot. Thousands are Thine noses and yet Thou art without a nose. I am bewitched by these plays of Thine.	(ਪਦ) ਪੈਰ। (ਬਿਮਲ) ਨਿਰਮਲ। (ਗੰਧ) ਨੱਕ।	
9	663	sggs	ਸਭ ਮਹਿ ਜੋਤਿ; ਜੋਤਿ ਹੈ ਸੋਇ॥			The Divine Light is within everyone; You are that Light.	Amongst all there is light and that light art Thou.		
10	663	sggs	ਤਿਸ ਕੈ ਚਾਨਣਿ; ਸਭ ਮਹਿ ਚਾਨਣੁ ਹੋਇ॥			Yours is that Light which shines within everyone.	By His Light, the light shines within all the souls.		
11	663	sggs	ਗੁਰ ਸਾਖੀ; ਜੋਤਿ ਪਰਗਟੁ ਹੋਇ॥			By the Guru's Teachings, this Divine Light is revealed.	By Guru's teaching the Divine light becomes manifest.		
12	663	sggs	ਜੋ ਤਿਸੁ ਭਾਵੈ; ਸੁ ਆਰਤੀ ਹੋਇ॥੩॥			That which pleases the Lord is the true worship service. ||3||	Whatever pleases Him, that is His real worship.		
13	663	sggs	ਹਰਿ ਚਰਣਕਮਲ ਮਕਰੰਦ. ਲੋਭਿਤ ਮਨੋ; ਅਨਦਿਨੋ ਮੋਹਿ ਆਹੀ ਪਿਆਸਾ॥			My soul is enticed by the honey-sweet lotus feet of the Lord; night and day, I thirst for them.	My soul is bewitched by the honey of the lotus feet of God and, night and day, I am thirsty for them.	(ਮਕਰੰਦ) ਫੁੱਲਾਂ ਦਾ ਰਸ।	
14	663	sggs	ਕ੍ਰਿਪਾ ਜਲੁ ਦੇਹਿ. ਨਾਨਕ ਸਾਰਿੰਗ ਕਉ; ਹੋਇ ਜਾ ਤੇ. ਤੇਰੈ ਨਾਮਿ ਵਾਸਾ॥੪॥੧॥੭॥੯॥			Bless Nanak, the thirsty song-bird, with the water of Your Mercy, that he may come to dwell in Your Name. ||4||1||7||9||	Bless Nanak, the pied cuckoo, with the Nectar of Thine mercy, so that he may have an abode in Thy Name, O Lord.		
15	694	sggs	ਨਾਮੁ ਤੇਰੋ ਆਰਤੀ ਮਜਨੁ ਮੁਰਾਰੇ॥	ਮੱਜਨੁ।		Your Name, Lord, is my adoration and cleansing bath.	Thy Name, O Lord, is my adoration in audience and ablution.		
16	694	sggs	ਹਰਿ ਕੇ ਨਾਮ ਬਿਨੁ; ਝੂਠੇ ਸਗਲ ਪਾਸਾਰੇ॥੧॥ਰਹਾਉ॥			Without the Name of the Lord, all ostentatious displays are useless. ||1||Pause||	Without the Lord's Name, all the ostentations are in vain. Pause.		
17	694	sggs	ਨਾਮੁ ਤੇਰੋ ਆਸਨੋ. ਨਾਮੁ ਤੇਰੋ ਉਰਸਾ; ਨਾਮੁ ਤੇਰਾ ਕੇਸਰੋ. ਲੇ ਛਿਟਕਾਰੇ॥			Your Name is my prayer mat, and Your Name is the stone to grind the sandalwood. Your Name is the saffron which I take and sprinkle in offering to You.	Thy name is my prayer mat, Thy name, my stone scraper and Thy name the saffron, which I take and sprinkle for Thee.	(ਆਸਨੋ) ਉਪਾਸਨਾ ਸਥਾਨ। (ਉਰਸਾ) ਚੰਦਨ ਰਗੜਨ ਵਾਲਾ ਪੱਥਰ।	
18	694	sggs	ਨਾਮੁ ਤੇਰਾ ਅੰਭੁਲਾ. ਨਾਮੁ ਤੇਰੋ ਚੰਦਨੋ; ਘਸਿ ਜਪੇ. ਨਾਮੁ ਲੇ, ਤੁਝਹਿ ਕਉ ਚਾਰੇ॥੧॥	ਚਾਰੑੇ।		Your Name is the water, and Your Name is the sandalwood. The chanting of Your Name is the grinding of the sandalwood. I take it and offer all this to You. ||1||	Thy name is the water and Thy Name and sandal. The repetition of Thy Name is the grating of sandal. Taking the Name I offer it unto Thee.	(ਅੰਭੁਲਾ) ਜਲ। (ਚਾਰੑੇ) ਚਾੜੑਦੇ।	
19	694	sggs	ਨਾਮੁ ਤੇਰਾ ਦੀਵਾ. ਨਾਮੁ ਤੇਰੋ ਬਾਤੀ; ਨਾਮੁ ਤੇਰੋ ਤੇਲੁ. ਲੇ ਮਾਹਿ ਪਸਾਰੇ॥			Your Name is the lamp, and Your Name is the wick. Your Name is the oil I pour into it.	Thy Name is the Lamp and Thy Name the wick Taking the oil of Thy name, I pour it therein.	(ਪਸਾਰੇ) ਪਾਇਆ।	
20	694	sggs	ਨਾਮ ਤੇਰੇ ਕੀ ਜੋਤਿ ਲਗਾਈ; ਭਇਓ ਉਜਿਆਰੋ ਭਵਨ ਸਗਲਾਰੇ॥੨॥			Your Name is the light applied to this lamp, which enlightens and illuminates the entire world. ||2||	Thy Name is the light, which I have applied to the lamp and it has enlightened the whole world.		
